,index,gridSearch,accu_std,accu_mod,acc_test,acc_train,overfitting %,recall,overfitting_balanced,f1,precission,balanced_accucracy,ROC,balance_method
36,6,AdaBoost,0.9166666666666666,0.7346938775510204,0.9487951807228916,0.7346938775510204,22.56559766763848,0.0,46.93877551020409,0.0,0.0,0.5,0.5,condensed_nearest
37,7,XGB,0.9036144578313252,0.7360544217687074,0.9487951807228916,0.7346938775510204,22.56559766763848,0.0,46.93877551020409,0.0,0.0,0.5,0.5,condensed_nearest
38,8,CatBoost,0.9307228915662652,0.7442176870748299,0.9447791164658634,0.7605442176870748,19.50031447222885,0.0196078431372549,49.96186384955947,0.0350877192982456,0.1666666666666666,0.5071584189231247,0.5071584189231247,condensed_nearest
39,9,LGBM,0.9136546184738956,0.7346938775510204,0.9487951807228916,0.7346938775510204,22.56559766763848,0.0,46.93877551020409,0.0,0.0,0.5,0.5,condensed_nearest
40,0,SVC,0.2740963855421687,0.841025641025641,0.2550200803212851,0.8717948717948718,241.8534221683828,0.8235294117647058,66.3940194295428,0.1016949152542372,0.0541935483870967,0.5239340180516651,0.5239340180516651,near_miss
41,1,LogisticRegression,0.3714859437751004,0.8333333333333334,0.3744979919678715,0.8282051282051283,121.15075273252218,0.7254901960784313,53.22295600409266,0.1061692969870875,0.0572755417956656,0.5405228758169934,0.5405228758169935,near_miss
42,2,DecissionTree,0.286144578313253,0.782051282051282,0.3905622489959839,0.8666666666666667,121.90231362467864,0.6078431372549019,75.67345908775472,0.0926756352765321,0.0501618122977346,0.4933395580454404,0.4933395580454404,near_miss
43,3,KNN,0.3664658634538152,0.782051282051282,0.2901606425702811,0.8871794871794871,205.7545914293319,0.6666666666666666,89.46544980443288,0.0877419354838709,0.0469613259668508,0.4682539682539682,0.4682539682539682,near_miss
44,4,GradientBoosting,0.2991967871485944,0.8564102564102564,0.251004016064257,0.9974358974358974,297.3784615384615,0.8431372549019608,87.80834144758195,0.1033653846153846,0.0550576184379001,0.5310924369747899,0.5310924369747899,near_miss
45,5,RandomForest,0.2279116465863453,0.8461538461538461,0.2489959839357429,1.0,301.61290322580646,0.8235294117647058,92.02725316758308,0.1009615384615384,0.0537772087067861,0.5207594148770619,0.5207594148770619,near_miss
